Date,High,Low,Open,Close,Volume,Adj Close,Name
2017-10-30,201.10000610351562,197.07000732421875,199.6199951171875,198.3699951171875,5439600,198.3699951171875,NFLX
2017-10-31,198.58999633789062,195.22000122070312,198.2100067138672,196.42999267578125,5518600,196.42999267578125,NFLX
2017-11-01,199.1999969482422,196.0,197.24000549316406,198.0,5017400,198.0,NFLX
2017-11-02,199.44000244140625,197.08999633789062,197.4499969482422,199.32000732421875,3606300,199.32000732421875,NFLX
2017-11-03,200.5500030517578,197.99000549316406,199.8000030517578,200.00999450683594,3678800,200.00999450683594,NFLX
2017-11-06,202.47999572753906,198.08999633789062,200.0,200.1300048828125,5846600,200.1300048828125,NFLX
2017-11-07,200.61000061035156,194.8000030517578,200.0,195.88999938964844,6468000,195.88999938964844,NFLX
2017-11-08,197.08999633789062,194.74000549316406,196.0,196.44000244140625,4237400,196.44000244140625,NFLX
2017-11-09,194.49000549316406,190.80999755859375,194.4600067138672,193.89999389648438,5979900,193.89999389648438,NFLX
2017-11-10,192.58999633789062,189.5,191.61000061035156,192.02000427246094,6622200,192.02000427246094,NFLX
2017-11-13,196.0500030517578,191.0,191.1199951171875,195.0800018310547,4607000,195.0800018310547,NFLX
2017-11-14,195.8800048828125,193.0,193.63999938964844,195.7100067138672,3450500,195.7100067138672,NFLX
2017-11-15,195.4199981689453,191.52999877929688,194.5399932861328,192.1199951171875,4203100,192.1199951171875,NFLX
2017-11-16,197.6999969482422,193.75,194.3300018310547,195.50999450683594,5678400,195.50999450683594,NFLX
2017-11-17,195.9499969482422,192.64999389648438,195.74000549316406,193.1999969482422,3906300,193.1999969482422,NFLX
2017-11-20,194.32000732421875,191.89999389648438,193.3000030517578,194.10000610351562,3827500,194.10000610351562,NFLX
2017-11-21,197.52000427246094,194.97000122070312,195.0399932861328,196.22999572753906,4787300,196.22999572753906,NFLX
2017-11-22,196.75,193.6300048828125,196.5800018310547,196.32000732421875,5895400,196.32000732421875,NFLX
2017-11-24,196.89999389648438,195.3300018310547,196.64999389648438,195.75,2160500,195.75,NFLX
2017-11-27,195.85000610351562,194.0,195.55999755859375,195.0500030517578,3210100,195.0500030517578,NFLX
2017-11-28,199.67999267578125,194.00999450683594,195.33999633789062,199.17999267578125,6981100,199.17999267578125,NFLX
2017-11-29,199.02999877929688,184.32000732421875,198.91000366210938,188.14999389648438,14202700,188.14999389648438,NFLX
2017-11-30,190.86000061035156,186.67999267578125,190.30999755859375,187.5800018310547,6630100,187.5800018310547,NFLX
2017-12-01,189.8000030517578,185.0,186.99000549316406,186.82000732421875,6219500,186.82000732421875,NFLX
2017-12-04,189.72000122070312,178.3800048828125,189.36000061035156,184.0399932861328,9069800,184.0399932861328,NFLX
2017-12-05,188.13999938964844,181.19000244140625,183.5,184.2100067138672,5783700,184.2100067138672,NFLX
2017-12-06,186.47999572753906,182.8800048828125,183.3800048828125,185.3000030517578,5490100,185.3000030517578,NFLX
2017-12-07,187.33999633789062,183.22000122070312,185.7100067138672,185.1999969482422,4659500,185.1999969482422,NFLX
2017-12-08,189.4199981689453,186.3000030517578,186.5,188.5399932861328,4987300,188.5399932861328,NFLX
2017-12-11,189.4199981689453,185.91000366210938,187.85000610351562,186.22000122070312,5298600,186.22000122070312,NFLX
2017-12-12,187.85000610351562,184.82000732421875,186.00999450683594,185.72999572753906,4265900,185.72999572753906,NFLX
